# Program:featureCounts v1.5.0-p1; Command:""featureCounts"" ""-a"" ""ws254.saf"" ""-o"" ""counts.txt"" ""-s"" ""2"" ""-F"" ""SAF"" ""1_S1_R1_001"" ""2_S2_R1_001"" ""3_S3_R1_001"" ""4_S4_R1_001"" ""5_S5_R1_001"" ""6_S6_R1_001"" ""7_S7_R1_001"" "
Geneid	Chr	Start	End	Strand	Length	s1_S1_R1_001	s2_S2_R1_001	s3_S3_R1_001	s5_S5_R1_001	s6_S6_R1_001	s7_S7_R1_001
WBGene00023266	chrII	2077022	2077902	-	881	0	0	0	0	0	0
WBGene00020535	chrII	2081557	2082016	+	460	0	0	0	0	0	0
WBGene00020536	chrII	2083595	2083826	-	232	0	0	0	0	0	0
WBGene00020534	chrII	2084129	2084891	+	763	0	0	0	0	0	0
WBGene00004149	chrII	2086719	2090618	-	3900	7	0	5	1	0	0
WBGene00269431	chrII	2091772	2092111	-	340	9	0	4	3	5	0
WBGene00020537	chrII	2092681	2093876	-	1196	0	0	3	2	0	4
WBGene00020533	chrII	2095304	2098671	+	3368	0	0	0	0	0	0
WBGene00020532	chrII	2098871	2104149	+	5279	82	0	190	81	43	57
WBGene00020075	chrII	2104524	2106866	+	2343	112	26	138	85	275	147
WBGene00020076	chrII	2107197	2108395	-	1199	0	0	0	0	0	0
WBGene00020077	chrII	2108787	2110043	-	1257	0	0	0	2	0	0
WBGene00020078	chrII	2111227	2113048	-	1822	0	0	0	3	0	0
WBGene00005408	chrII	2114554	2116894	-	2341	6	0	24	0	0	0
WBGene00020080	chrII	2117276	2122181	-	4906	70	0	64	57	38	50
WBGene00201615	chrII	2119449	2119594	+	146	0	0	0	0	0	0
WBGene00197682	chrII	2123149	2123200	+	52	0	0	0	0	0	0
WBGene00020081	chrII	2123687	2129281	-	5595	0	0	0	0	0	0
WBGene00020073	chrII	2131070	2132475	+	1406	0	0	3	0	0	0
WBGene00016548	chrII	2133666	2135704	-	2039	0	0	0	0	0	0
WBGene00016553	chrII	2136552	2137329	-	778	27	7	11	28	21	18
WBGene00016547	chrII	2137422	2138951	+	1530	10	0	2	1	0	0
WBGene00016546	chrII	2141118	2142957	+	1840	49	23	25	41	16	62
WBGene00016549	chrII	2144292	2145666	-	1375	19	32	1	9	1	5
WBGene00016545	chrII	2146950	2148775	+	1826	1	0	0	2	0	0
WBGene00016550	chrII	2148732	2150363	-	1632	0	0	0	0	0	0
WBGene00016551	chrII	2150552	2151290	-	739	0	0	0	2	0	0
WBGene00016544	chrII	2154008	2155220	+	1213	83	0	81	44	26	9
WBGene00044360	chrII	2163341	2163832	-	492	0	0	0	0	0	0
WBGene00016336	chrII	2165440	2166498	-	1059	0	0	0	0	0	0
WBGene00219656	chrII	2166431	2170212	+	3782	10	0	8	2	0	8
WBGene00016337	chrII	2167756	2168759	-	1004	2	0	0	0	0	0
WBGene00219322	chrII	2169062	2169511	-	450	0	0	0	0	0	0
WBGene00016338	chrII	2170325	2173219	-	2895	0	0	0	0	0	0
WBGene00016339	chrII	2174586	2175289	-	704	9	0	3	9	0	5
WBGene00016335	chrII	2176741	2181990	+	5250	509	121	693	218	477	454
WBGene00016340	chrII	2182503	2186434	-	3932	140	30	125	54	56	79
WBGene00016341	chrII	2187149	2189457	-	2309	3174	1241	2194	3228	3393	4102
WBGene00016342	chrII	2192339	2194114	-	1776	6247	1795	3474	4294	5522	6968
WBGene00016334	chrII	2197846	2198675	+	830	2	0	0	0	0	0
WBGene00021985	chrII	2199143	2204139	-	4997	685	360	531	563	637	640
WBGene00200035	chrII	2201558	2201670	-	113	0	0	0	0	0	0
WBGene00021984	chrII	2208112	2212863	+	4752	2488	932	1610	1947	4153	2757
WBGene00021986	chrII	2215476	2219921	-	4446	2371	1470	4816	3358	4505	3849
WBGene00018783	chrII	2220464	2223567	-	3104	1	0	5	0	0	0
WBGene00198765	chrII	2220483	2220632	+	150	0	0	0	0	0	0
WBGene00018784	chrII	2224359	2225708	-	1350	1312	1188	386	672	947	1686
WBGene00018785	chrII	2225817	2232470	-	6654	700	232	612	593	1233	774
WBGene00197814	chrII	2226471	2226530	-	60	0	0	0	0	0	0
WBGene00196771	chrII	2228069	2228122	+	54	0	0	0	0	0	0
WBGene00219965	chrII	2229125	2229176	-	52	0	0	0	0	0	0
WBGene00018782	chrII	2233540	2243539	+	10000	3068	2413	2719	2425	5919	4439
WBGene00018781	chrII	2243642	2254323	+	10682	387	183	338	434	523	638
WBGene00195742	chrII	2247802	2247884	+	83	0	0	0	0	0	0
WBGene00019586	chrII	2255172	2261101	+	5930	0	0	0	0	0	0
WBGene00019587	chrII	2262128	2265768	-	3641	0	0	12	7	0	13
WBGene00019588	chrII	2272062	2273384	-	1323	0	0	2	0	0	2
WBGene00019589	chrII	2274876	2279146	-	4271	109	119	273	153	39	119
WBGene00044361	chrII	2280139	2280580	+	442	0	0	0	0	0	0
WBGene00019592	chrII	2280678	2283395	-	2718	414	873	1709	1263	575	754
WBGene00219267	chrII	2284810	2284919	-	110	23	95	200	109	140	78
WBGene00019593	chrII	2287030	2290226	-	3197	237	386	887	750	385	319
WBGene00235164	chrII	2289560	2290301	+	742	1301	1292	1405	1876	2021	1996
WBGene00019590	chrII	2290896	2292184	-	1289	21	0	51	30	0	30
WBGene00019591	chrII	2294693	2296265	-	1573	7	0	0	0	0	0
WBGene00015111	chrII	2297847	2298793	-	947	0	0	0	0	0	0
WBGene00015112	chrII	2299854	2300946	-	1093	28	0	70	36	92	142
WBGene00015113	chrII	2301308	2302229	-	922	291	45	137	247	201	335
WBGene00015110	chrII	2307041	2308361	+	1321	258	51	215	136	258	173
WBGene00023225	chrII	2310071	2311074	-	1004	0	0	0	0	0	0
WBGene00015114	chrII	2311490	2312847	-	1358	0	0	0	0	0	0
WBGene00015108	chrII	2313067	2314927	+	1861	2	0	0	0	0	0
WBGene00022869	chrII	2315084	2315622	+	539	1	0	0	0	0	0
WBGene00022870	chrII	2316163	2317877	-	1715	17	0	15	7	13	4
WBGene00022873	chrII	2318189	2320134	+	1946	74	30	81	42	116	68
WBGene00022868	chrII	2320153	2321951	+	1799	234	66	123	81	152	213
WBGene00022871	chrII	2322367	2322907	-	541	0	0	0	0	0	0
WBGene00022867	chrII	2323376	2325215	+	1840	557	84	239	214	415	408
WBGene00206413	chrII	2325256	2326245	+	990	9	0	1	2	15	36
WBGene00022872	chrII	2326995	2329053	-	2059	24	0	5	8	46	30
WBGene00022866	chrII	2329355	2331792	+	2438	44	27	46	42	17	43
WBGene00018385	chrII	2332520	2334338	+	1819	3	30	18	1	0	2
WBGene00018384	chrII	2335933	2337696	+	1764	2517	282	1228	1042	1225	1855
WBGene00018386	chrII	2337897	2340746	-	2850	625	289	458	640	618	733
WBGene00198432	chrII	2338977	2339042	+	66	0	0	0	0	0	0
WBGene00197659	chrII	2342172	2342224	-	53	0	0	0	0	0	0
WBGene00018383	chrII	2342433	2343925	+	1493	27	0	30	29	21	53
WBGene00018382	chrII	2345118	2346028	+	911	0	0	0	0	0	0
WBGene00018381	chrII	2347015	2350030	+	3016	0	0	0	0	0	0
WBGene00018387	chrII	2350216	2351657	-	1442	0	0	0	3	23	0
WBGene00018380	chrII	2353312	2354373	+	1062	57	142	33	56	89	189
WBGene00196356	chrII	2353605	2353692	-	88	0	0	0	0	0	0
WBGene00018379	chrII	2354776	2355972	+	1197	0	0	0	0	0	0
WBGene00018378	chrII	2357095	2358278	+	1184	1	0	0	0	0	0
WBGene00018388	chrII	2358801	2363773	-	4973	0	0	0	0	0	0
WBGene00018389	chrII	2365573	2366720	-	1148	0	0	0	0	0	0
WBGene00017520	chrII	2367528	2368708	+	1181	0	0	0	0	0	0
WBGene00017519	chrII	2369256	2370089	+	834	0	0	0	0	0	0
WBGene00017518	chrII	2372390	2374340	+	1951	0	0	0	0	0	0
WBGene00017517	chrII	2375273	2376411	+	1139	1	0	0	0	0	0
WBGene00017521	chrII	2377199	2377851	-	653	0	0	0	0	0	0
WBGene00017522	chrII	2379579	2380274	-	696	0	0	0	0	0	0
WBGene00017523	chrII	2381949	2383434	-	1486	0	0	0	0	0	8
WBGene00017524	chrII	2384186	2385595	-	1410	1	0	4	0	19	0
WBGene00017525	chrII	2389582	2390994	-	1413	0	0	0	0	0	2
WBGene00017526	chrII	2391645	2393921	-	2277	0	0	0	0	0	0
WBGene00017527	chrII	2394916	2395964	-	1049	0	0	0	0	0	0
WBGene00017528	chrII	2397334	2398984	-	1651	0	0	0	0	0	0
WBGene00017516	chrII	2404284	2404659	+	376	0	0	0	0	0	0
WBGene00017529	chrII	2405178	2407681	-	2504	48	0	22	25	24	37
WBGene00023278	chrII	2408308	2409325	+	1018	0	0	0	0	0	0
WBGene00018353	chrII	2409643	2412741	-	3099	37	0	31	35	98	114
WBGene00044672	chrII	2414119	2415531	-	1413	68	108	38	34	56	107
WBGene00018354	chrII	2416101	2417971	-	1871	25	0	20	5	66	27
WBGene00044362	chrII	2418448	2419025	+	578	0	0	5	0	0	7
WBGene00018352	chrII	2419472	2420794	+	1323	24	30	2	3	0	41
WBGene00219696	chrII	2421070	2423075	-	2006	3	0	0	0	0	0
WBGene00018351	chrII	2422207	2425837	+	3631	337	53	401	200	246	316
WBGene00018355	chrII	2426372	2429944	-	3573	49	59	94	65	123	67
WBGene00201773	chrII	2442121	2442170	-	50	0	0	0	0	0	0
WBGene00197533	chrII	2442409	2442480	+	72	0	0	0	0	0	0
WBGene00023285	chrII	2443051	2443116	+	66	0	0	0	0	0	0
WBGene00006882	chrII	2443279	2451130	+	7852	1131	438	1615	1440	1558	1305
WBGene00003300	chrII	2452838	2452936	+	99	0	0	0	0	0	0
WBGene00004129	chrII	2452970	2458981	-	6012	162	124	120	90	167	110
WBGene00006647	chrII	2460866	2472862	-	11997	1384	320	1091	1217	1628	1194
WBGene00255569	chrII	2464028	2464088	+	61	0	0	0	0	0	0
WBGene00200343	chrII	2466344	2466416	-	73	0	0	0	0	0	0
WBGene00018769	chrII	2473520	2479090	-	5571	1259	355	727	747	1318	1237
WBGene00018768	chrII	2480399	2481312	+	914	2	0	3	2	0	0
WBGene00018767	chrII	2481921	2485922	+	4002	0	0	4	4	25	25
WBGene00018770	chrII	2483407	2483869	-	463	0	0	0	0	0	0
WBGene00018766	chrII	2488754	2496641	+	7888	158	91	172	374	189	333
WBGene00219707	chrII	2501838	2503802	-	1965	703	416	212	589	350	990
WBGene00195037	chrII	2502038	2502056	+	19	0	0	0	0	0	0
WBGene00198201	chrII	2502960	2503056	-	97	0	0	0	0	0	0
WBGene00019130	chrII	2504878	2514846	+	9969	136	113	110	100	137	219
WBGene00019131	chrII	2514977	2516097	-	1121	6	0	0	2	0	0
WBGene00018223	chrII	2520965	2522044	-	1080	3	0	0	2	33	24
WBGene00018224	chrII	2522628	2524475	-	1848	7	0	0	3	0	14
WBGene00019341	chrII	2525220	2529255	-	4036	0	0	0	0	0	0
WBGene00197405	chrII	2526970	2527019	+	50	0	0	0	0	0	0
WBGene00019340	chrII	2530817	2531476	+	660	0	0	0	0	0	0
WBGene00019342	chrII	2533445	2534278	-	834	2	45	0	57	0	80
WBGene00019339	chrII	2535417	2536292	+	876	196	102	112	63	218	109
WBGene00019338	chrII	2538494	2543920	+	5427	0	0	0	0	0	0
WBGene00019337	chrII	2546225	2553572	+	7348	1	0	0	0	0	0
WBGene00019335	chrII	2553962	2556313	+	2352	0	0	0	0	0	0
WBGene00220002	chrII	2556628	2556798	-	171	0	0	0	0	0	0
WBGene00019343	chrII	2557781	2563677	-	5897	67	25	117	102	240	117
WBGene00017280	chrII	2565275	2575930	+	10656	1028	518	1171	1118	1016	1399
WBGene00005587	chrII	2578536	2579595	-	1060	3	0	3	4	0	0
WBGene00005586	chrII	2580901	2583346	-	2446	6	0	20	4	1	19
WBGene00005548	chrII	2583782	2585593	-	1812	0	0	0	0	0	0
WBGene00045457	chrII	2586078	2586911	-	834	7	0	2	0	12	0
WBGene00005551	chrII	2587504	2589754	+	2251	0	0	0	0	0	0
WBGene00018020	chrII	2594052	2598903	-	4852	0	0	0	0	0	0
WBGene00018019	chrII	2600553	2601779	+	1227	1	0	2	2	0	0
WBGene00005589	chrII	2603208	2605419	-	2212	199	140	52	135	179	140
WBGene00005588	chrII	2606774	2608558	-	1785	42	25	9	24	64	24
WBGene00005550	chrII	2610862	2612359	+	1498	19	25	30	42	44	39
WBGene00194711	chrII	2612612	2614060	+	1449	0	0	0	0	0	0
WBGene00219667	chrII	2615725	2616219	-	495	39	0	7	25	0	34
WBGene00017059	chrII	2616905	2617374	+	470	0	0	0	2	0	0
WBGene00017058	chrII	2619419	2619789	+	371	0	0	0	0	0	0
WBGene00017057	chrII	2622663	2623767	+	1105	0	0	0	0	0	0
WBGene00017056	chrII	2623402	2624530	+	1129	0	0	0	1	0	0
WBGene00044301	chrII	2625092	2627070	+	1979	79	29	25	41	51	159
WBGene00005583	chrII	2627749	2629196	+	1448	0	0	0	0	0	0
WBGene00005549	chrII	2629570	2631231	+	1662	0	0	0	1	0	6
WBGene00017055	chrII	2631473	2633054	+	1582	1	0	0	4	0	5
WBGene00005553	chrII	2634210	2635321	+	1112	5	0	12	3	0	6
WBGene00044363	chrII	2635360	2637608	-	2249	17	25	3	3	15	9
WBGene00017708	chrII	2638392	2639353	+	962	46	0	34	23	18	23
WBGene00017707	chrII	2640081	2641897	+	1817	2	0	0	0	0	0
WBGene00017706	chrII	2642090	2642884	+	795	3	0	0	0	0	0
WBGene00017709	chrII	2643685	2645703	-	2019	52	0	10	42	37	63
WBGene00017710	chrII	2646328	2646843	-	516	25	29	19	43	57	76
WBGene00017711	chrII	2647637	2649639	-	2003	142	144	172	197	246	316
WBGene00017705	chrII	2649870	2650715	+	846	4	0	0	0	12	10
WBGene00005561	chrII	2652841	2654464	-	1624	14	0	30	1	15	5
WBGene00005564	chrII	2655339	2656475	+	1137	0	0	0	0	0	0
WBGene00005559	chrII	2656906	2658258	+	1353	101	23	20	17	133	35
WBGene00023272	chrII	2658912	2659174	+	263	0	0	6	0	0	0
WBGene00001546	chrII	2659670	2665022	+	5353	2523	773	1313	2069	2253	2330
WBGene00017704	chrII	2665389	2666252	+	864	0	0	1	0	0	0
WBGene00005567	chrII	2666283	2668162	-	1880	7	0	0	3	0	5
WBGene00005571	chrII	2668589	2670075	-	1487	7	0	5	13	0	7
WBGene00005569	chrII	2670533	2672128	-	1596	28	0	0	2	14	3
WBGene00017713	chrII	2672632	2673634	-	1003	0	0	0	0	0	0
WBGene00017703	chrII	2673908	2677588	+	3681	32	26	7	11	21	51
WBGene00017712	chrII	2678041	2679162	+	1122	4	0	0	3	0	0
WBGene00018021	chrII	2679163	2681218	-	2056	0	0	0	0	0	0
WBGene00219687	chrII	2681408	2681658	-	251	1	0	5	0	0	0
WBGene00018022	chrII	2683329	2684308	-	980	5	0	7	0	0	13
WBGene00006318	chrII	2684669	2686977	-	2309	625	290	253	416	658	716
WBGene00044364	chrII	2687625	2687888	+	264	0	0	0	0	0	0
WBGene00044365	chrII	2688916	2689179	+	264	0	0	0	0	0	0
WBGene00044366	chrII	2689909	2690180	-	272	27	0	20	13	49	45
WBGene00018023	chrII	2690472	2694311	-	3840	1997	680	1721	1632	2990	2682
WBGene00005574	chrII	2696939	2698478	-	1540	29	0	67	41	48	66
WBGene00198346	chrII	2697225	2697368	+	144	0	0	0	0	0	0
WBGene00005573	chrII	2698865	2700329	-	1465	10	0	6	26	0	7
WBGene00005572	chrII	2701389	2702857	-	1469	7	0	21	8	0	0
WBGene00005345	chrII	2703371	2705316	-	1946	22	0	81	88	0	10
WBGene00021654	chrII	2705996	2707982	-	1987	136	40	76	158	82	138
WBGene00020227	chrII	2708438	2710096	-	1659	1	0	24	0	0	0
WBGene00020228	chrII	2709942	2711019	-	1078	4	0	5	1	0	16
WBGene00020229	chrII	2714647	2717435	-	2789	25702	8142	17255	28447	21580	31673
WBGene00020230	chrII	2717522	2725541	-	8020	8915	3407	10051	12180	14643	10788
WBGene00020231	chrII	2731319	2735250	-	3932	1376	280	739	764	1263	944
WBGene00197438	chrII	2735783	2735880	+	98	0	0	0	0	0	0
WBGene00023130	chrII	2735794	2735875	-	82	0	0	0	0	0	0
WBGene00201160	chrII	2736265	2736362	+	98	0	0	0	0	0	0
WBGene00023129	chrII	2736276	2736357	-	82	0	0	0	0	0	0
WBGene00044367	chrII	2736678	2737556	+	879	188	121	128	141	247	199
WBGene00020232	chrII	2738523	2739642	-	1120	0	0	0	0	0	0
WBGene00020233	chrII	2740403	2742341	-	1939	5	0	4	17	21	34
WBGene00017915	chrII	2747393	2747728	-	336	0	0	0	0	0	0
WBGene00017914	chrII	2748588	2751573	+	2986	2102	635	1323	1882	2874	2433
WBGene00017916	chrII	2751741	2752611	-	871	152	71	75	110	58	202
WBGene00017913	chrII	2753299	2754379	+	1081	3	0	8	1	0	3
WBGene00017917	chrII	2756021	2757018	-	998	0	0	0	0	0	0
WBGene00017918	chrII	2757462	2758189	-	728	5	0	0	0	17	4
WBGene00017912	chrII	2758625	2761856	+	3232	18	0	2	14	16	16
WBGene00017911	chrII	2762417	2763477	+	1061	8	0	15	11	26	0
WBGene00200475	chrII	2763657	2763713	-	57	0	0	0	0	0	0
WBGene00017249	chrII	2764964	2767230	+	2267	0	0	0	0	0	8
WBGene00017250	chrII	2767250	2769121	-	1872	146	130	98	141	460	186
WBGene00017251	chrII	2769670	2770888	-	1219	0	0	0	0	0	0
WBGene00017252	chrII	2771082	2772266	-	1185	9	0	5	10	35	13
WBGene00017253	chrII	2772389	2773634	-	1246	2	0	0	1	0	0
WBGene00017254	chrII	2773954	2775042	-	1089	2	0	3	0	0	0
WBGene00043239	chrII	2775234	2777815	+	2582	0	0	0	0	0	0
WBGene00017248	chrII	2778146	2779282	+	1137	1	0	0	0	0	0
WBGene00017247	chrII	2779544	2780838	+	1295	100	205	11	43	6	241
WBGene00017246	chrII	2781628	2783083	+	1456	46	65	29	52	71	204
WBGene00017255	chrII	2783102	2787089	-	3988	2334	684	2512	2719	2354	2306
WBGene00017245	chrII	2787481	2793471	+	5991	2336	591	2197	2161	3325	2351
WBGene00003709	chrII	2794974	2800600	-	5627	2398	876	1781	1541	3857	2608
WBGene00019691	chrII	2808167	2812860	+	4694	758	295	536	540	1012	760
WBGene00196074	chrII	2810004	2810054	-	51	0	0	0	0	0	0
WBGene00197071	chrII	2811403	2811456	-	54	0	0	0	0	0	0
WBGene00197295	chrII	2811403	2811456	+	54	0	0	0	0	0	0
WBGene00019683	chrII	2812872	2815544	-	2673	2	0	3	0	0	4
WBGene00019690	chrII	2816976	2819123	+	2148	4	27	0	4	22	3
WBGene00001507	chrII	2819435	2822490	-	3056	39	0	53	36	22	34
WBGene00044368	chrII	2822874	2823059	+	186	0	0	0	0	0	0
WBGene00019684	chrII	2823707	2824269	-	563	0	0	0	0	0	0
WBGene00019689	chrII	2824414	2824946	+	533	0	0	0	2	0	0
WBGene00019685	chrII	2825662	2826598	-	937	0	0	3	2	0	11
WBGene00019688	chrII	2827897	2828603	+	707	0	0	0	0	0	0
WBGene00019686	chrII	2828594	2831233	-	2640	1885	581	1039	1244	1891	1823
WBGene00019687	chrII	2834953	2836780	-	1828	4	0	3	7	0	0
WBGene00168892	chrII	2838791	2838811	-	21	0	0	0	0	0	0
WBGene00022441	chrII	2839304	2840386	+	1083	400	304	226	292	240	608
WBGene00022443	chrII	2841010	2841629	-	620	0	0	0	0	0	0
WBGene00022444	chrII	2842608	2843188	-	581	0	0	0	0	0	0
WBGene00004210	chrII	2845384	2852593	-	7210	327	75	284	233	232	306
WBGene00200083	chrII	2847755	2847891	-	137	0	0	0	0	0	0
WBGene00195503	chrII	2847760	2847816	+	57	0	0	0	0	0	0
WBGene00197619	chrII	2859579	2859631	-	53	0	0	0	0	0	0
WBGene00023203	chrII	2860342	2860423	+	82	0	0	0	0	0	0
WBGene00023204	chrII	2861550	2861631	-	82	0	0	0	0	0	0
WBGene00022442	chrII	2864529	2865363	+	835	0	0	0	0	0	0
WBGene00022445	chrII	2865971	2866655	-	685	18	21	9	8	0	46
WBGene00022440	chrII	2867074	2867779	+	706	7	0	10	9	24	20
WBGene00022439	chrII	2867993	2870758	+	2766	4	0	5	10	0	19
WBGene00022446	chrII	2871377	2871914	-	538	0	0	0	0	0	0
WBGene00022438	chrII	2875101	2876618	+	1518	0	0	0	0	0	0
WBGene00196601	chrII	2876159	2876236	-	78	0	0	0	0	0	0
WBGene00022447	chrII	2878729	2884910	-	6182	419	252	352	414	435	369
WBGene00022448	chrII	2886317	2889016	-	2700	742	323	585	732	839	1060
WBGene00005020	chrII	2889104	2894395	-	5292	620	318	404	503	524	821
WBGene00220227	chrII	2895367	2895466	-	100	47	0	11	20	19	0
WBGene00022450	chrII	2896737	2900348	-	3612	1050	301	739	815	1269	1118
WBGene00022449	chrII	2902962	2904001	-	1040	385	201	460	412	607	480
WBGene00006710	chrII	2906542	2913575	-	7034	657	212	510	540	670	609
WBGene00022453	chrII	2913705	2919314	-	5610	1678	407	694	1042	1546	1840
WBGene00022452	chrII	2919710	2920904	+	1195	18	0	0	0	0	17
WBGene00022712	chrII	2923899	2926533	+	2635	1571	547	1044	1531	1706	1330
WBGene00022713	chrII	2927017	2927633	-	617	6	0	1	6	0	4
WBGene00086560	chrII	2927813	2928149	+	337	8	19	15	11	0	12
WBGene00022714	chrII	2928221	2930599	-	2379	17	0	16	11	42	3
WBGene00022711	chrII	2930728	2933463	+	2736	33	0	33	17	4	29
WBGene00044369	chrII	2933521	2934454	-	934	0	0	1	3	0	4
WBGene00022715	chrII	2934805	2937952	-	3148	60	32	45	51	41	87
WBGene00022716	chrII	2938143	2940847	-	2705	22	0	30	57	0	53
WBGene00020431	chrII	2940996	2944077	-	3082	33	11	14	25	59	45
WBGene00020430	chrII	2944176	2946533	+	2358	37	27	30	53	12	34
WBGene00005826	chrII	2946738	2948434	+	1697	32	0	47	29	30	26
WBGene00077759	chrII	2948929	2952729	-	3801	17	0	8	8	0	12
WBGene00020432	chrII	2952957	2956040	-	3084	7	0	12	7	9	21
WBGene00020428	chrII	2956224	2958191	+	1968	27	0	11	13	0	64
WBGene00005807	chrII	2958608	2961883	+	3276	73	0	7	36	65	36
WBGene00196048	chrII	2962383	2962452	-	70	0	0	0	1	0	8
WBGene00197932	chrII	2969192	2969248	-	57	0	0	0	0	0	0
WBGene00198710	chrII	2969192	2969248	+	57	0	0	0	0	0	0
WBGene00003678	chrII	2976639	2987023	+	10385	27893	9599	20225	22820	35963	34500
WBGene00196762	chrII	2978039	2978092	-	54	0	0	0	0	0	0
WBGene00197560	chrII	2979269	2979343	-	75	0	0	0	0	0	0
WBGene00202213	chrII	2979389	2979442	-	54	0	0	0	0	0	0
WBGene00200139	chrII	2983671	2983729	-	59	0	0	0	0	0	0
WBGene00019513	chrII	2988307	2991238	+	2932	2146	669	1746	1654	1819	2416
WBGene00019512	chrII	2991613	2994313	+	2701	58	0	24	9	26	10
WBGene00195040	chrII	2996388	2996407	-	20	0	0	0	0	0	0
WBGene00019511	chrII	2997021	3000653	+	3633	1520	932	1203	1424	2450	1677
WBGene00195039	chrII	2997044	2997062	-	19	0	0	0	0	0	0
WBGene00249814	chrII	2997044	2997062	+	19	0	0	0	0	0	0
WBGene00016576	chrII	3000768	3002411	+	1644	539	163	440	478	725	610
WBGene00016575	chrII	3002513	3003827	+	1315	389	267	236	278	449	493
WBGene00016574	chrII	3003969	3005573	+	1605	306	149	227	255	225	280
WBGene00016573	chrII	3005799	3007506	+	1708	210	134	108	162	268	174
WBGene00016578	chrII	3008700	3009889	+	1190	5	1	14	2	0	4
WBGene00044370	chrII	3012081	3012233	-	153	0	0	3	0	0	12
WBGene00200697	chrII	3014034	3014236	-	203	0	0	0	0	0	0
WBGene00201629	chrII	3014087	3014236	+	150	0	0	0	0	0	0
WBGene00016572	chrII	3014835	3015961	+	1127	36	0	13	44	0	88
WBGene00016571	chrII	3016068	3017471	+	1404	94	0	72	79	101	122
WBGene00016577	chrII	3017482	3019907	-	2426	191	0	112	22	119	68
WBGene00015198	chrII	3020561	3023431	-	2871	3	0	7	0	0	0
WBGene00015197	chrII	3032780	3036122	+	3343	114	57	51	59	33	98
WBGene00199082	chrII	3035338	3035459	-	122	0	0	0	0	0	0
WBGene00206372	chrII	3036187	3037757	-	1571	0	0	0	0	0	0
WBGene00200108	chrII	3036421	3036633	-	213	0	0	0	0	0	0
WBGene00201053	chrII	3036488	3036633	+	146	0	0	0	0	0	0
WBGene00202228	chrII	3036836	3036904	+	69	0	0	0	0	0	0
WBGene00196084	chrII	3036916	3037012	+	97	0	0	0	0	0	0
WBGene00199379	chrII	3036916	3037012	-	97	0	0	0	0	0	0
WBGene00196371	chrII	3038504	3038557	+	54	0	0	0	0	0	0
WBGene00197799	chrII	3038504	3038557	-	54	0	0	0	0	0	0
WBGene00015196	chrII	3038859	3040822	+	1964	10	0	0	0	0	12
WBGene00202018	chrII	3039516	3039714	+	199	0	0	0	0	0	0
WBGene00195335	chrII	3039516	3039756	-	241	0	0	0	0	0	0
WBGene00200955	chrII	3039962	3040068	-	107	0	0	0	0	0	0
WBGene00201122	chrII	3039962	3040068	+	107	0	0	0	0	0	0
WBGene00015199	chrII	3040943	3043406	-	2464	2	0	8	12	0	21
WBGene00005541	chrII	3044323	3046115	+	1793	171	16	223	150	214	192
WBGene00005542	chrII	3046219	3048154	+	1936	186	206	292	190	271	291
WBGene00165357	chrII	3048200	3048220	+	21	0	0	0	0	0	0
WBGene00005540	chrII	3048678	3050435	+	1758	13	0	50	37	0	0
WBGene00195464	chrII	3049230	3049366	-	137	0	0	0	0	0	0
WBGene00196256	chrII	3049279	3049366	+	88	0	0	0	0	0	0
WBGene00005543	chrII	3051003	3052322	+	1320	98	65	82	120	76	125
WBGene00015200	chrII	3052597	3054348	-	1752	1147	203	754	924	1111	1159
WBGene00002997	chrII	3056822	3060207	+	3386	557	242	343	393	693	629
WBGene00021293	chrII	3058258	3062112	+	3855	2	0	9	5	0	6
WBGene00023174	chrII	3062207	3062277	-	71	0	0	0	0	0	0
WBGene00023173	chrII	3062384	3062454	+	71	0	0	0	0	0	0
WBGene00021294	chrII	3062542	3071381	-	8840	1555	553	1097	1518	1435	1925
WBGene00021295	chrII	3071164	3076953	-	5790	512	447	289	360	457	573
WBGene00202455	chrII	3072345	3072395	+	51	0	0	0	0	0	0
WBGene00021292	chrII	3078796	3087682	+	8887	5546	1943	3874	4246	5774	5543
WBGene00005178	chrII	3088474	3091296	-	2823	17	0	19	11	22	0
WBGene00005179	chrII	3091503	3093452	-	1950	0	0	9	3	0	0
WBGene00005180	chrII	3093902	3096160	-	2259	10	52	8	19	0	11
WBGene00194985	chrII	3096228	3096957	-	730	0	0	3	0	0	0
WBGene00005181	chrII	3098403	3100646	-	2244	1	0	1	11	42	9
WBGene00021291	chrII	3102318	3104736	+	2419	0	0	0	0	0	12
WBGene00021290	chrII	3106065	3108032	+	1968	2	0	0	0	0	0
WBGene00021296	chrII	3109368	3111247	-	1880	570	115	246	311	469	504
WBGene00021289	chrII	3112613	3113337	+	725	0	0	0	7	0	0
WBGene00021288	chrII	3114234	3116758	+	2525	0	0	0	0	0	0
WBGene00198444	chrII	3117512	3117561	-	50	0	0	0	0	0	0
WBGene00199183	chrII	3117512	3117561	+	50	0	0	0	0	0	0
WBGene00020409	chrII	3117771	3118451	+	681	0	0	0	0	0	0
WBGene00020408	chrII	3119332	3123192	+	3861	1827	584	2016	1784	2363	1862
WBGene00005292	chrII	3123506	3124899	+	1394	123	130	315	164	368	324
WBGene00002102	chrII	3126037	3126441	-	405	0	0	0	0	0	0
WBGene00002114	chrII	3127041	3127790	+	750	0	0	0	0	0	0
